Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002798;;75014;12;1;STV;REFECTION_CHAUSSEE;Elargissement du trottoir et réfection de la chaussé.;Rue de la Gaité et la Rue Vandamme;"Rue la Gaité de la Rue Depuis la Rue Vandamme jusqu'à la Rue Edgard Quinet.
et la Rue Vandamme depuis la Rue de la Gaité jusqu'à la Rue du Maine .";2025-02-24;2025-07-11;;;1;2;;"{""coordinates"": [[[2.3246964713473264, 48.841038935978396], [2.3235676009991093, 48.839622749736485], [2.3235636374496855, 48.83961467078824], [2.3235555709391926, 48.83960925504906], [2.32239822326188, 48.839449639548604], [2.3223407491059613, 48.83948959395469], [2.323526086304421, 48.8396869636532], [2.324647411983729, 48.84105745577486], [2.3246964713473264, 48.841038935978396]]], ""type"": ""Polygon""}";48.84000167403189, 2.3236340440569587
CP002813;;75020;10;1;STV;REAMENAGEMENT_SECTEUR;;rue des Orteaux(47-69);;2025-03-31;2025-07-04;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.4024024742373684, 48.856624201711675], [2.4047584693241597, 48.85628685767006], [2.4048821403675444, 48.856147837517526], [2.4022734918067634, 48.85651614582579], [2.4024024742373684, 48.856624201711675]]], ""type"": ""Polygon""}";48.85639388705224, 2.4035708634488637
CP002821;;75010;11;1;SAGP;REAMENAGEMENT_SECTEUR;;rue Louis Blanc- lycée Colbert-école Louis Blanc.;;2025-02-17;2025-04-25;BARRAGE_TOTAL;;1;4;;"{""coordinates"": [[[[2.3629455147578153, 48.88218702186742], [2.362268803929963, 48.88254557724224], [2.3623483223544555, 48.88270174479038], [2.363220682597934, 48.8822821203011], [2.3631560031786445, 48.882244183407636], [2.3630944101430678, 48.88228681941846], [2.3629455147578153, 48.88218702186742]]], [[[2.362940952742562, 48.882183964154684], [2.3629455147578153, 48.88218702186742], [2.363051531695803, 48.882130847252014], [2.362940952742562, 48.882183964154684]]]], ""type"": ""MultiPolygon""}";48.88242994986243, 2.36270223212541
CP001421;;75016;13;3;Maison de la Radio;REHABILITATION_IMMEUBLE;installation de la base vie;Rue  Boullainvilliers;du n°2 au n°10;2019-07-01;2025-12-31;RESTREINTE;Modification des files de circulation .;2;4;;"{""coordinates"": [[[2.2780879687731894, 48.85165200691028], [2.278005620021255, 48.85160986774178], [2.276937983388899, 48.852153100104196], [2.277031015931084, 48.852204823391524], [2.2772035373126718, 48.85224512825188], [2.2772770162585245, 48.85214682034601], [2.2773646538731667, 48.85206763380218], [2.2774974768795366, 48.85198039195424], [2.277631837054627, 48.851912196037745], [2.2778039222536837, 48.8518537456313], [2.2779865439626774, 48.85181558521849], [2.2779745338979853, 48.851771490754125], [2.2780323708879635, 48.85176113104939], [2.2781821795556927, 48.85174894738235], [2.2780879687731894, 48.85165200691028]]], ""type"": ""Polygon""}";48.851920958050805, 2.277550787213821
CP002663;;75005;12;2;CPCU;ENTRETIEN_RESEAU;;place Valhubert;angle quai d'Austerlitz, pont d'Austerlitz;2024-09-16;2025-09-15;RESTREINTE;Fermeture des couloirs de bus (sauf vélo) sur le pont d'Austerlitz.;2;2;;"{""coordinates"": [[[2.3652051804283865, 48.84434745466345], [2.3652070218504044, 48.844029252880986], [2.364975182189848, 48.84402399422843], [2.364986197794145, 48.844288558086085], [2.364986148726116, 48.84429258515942], [2.364990266276986, 48.8442885796817], [2.3652051804283865, 48.84434745466345]]], ""type"": ""Polygon""}";48.84417111487661, 2.3650970077303937
CP002666;;75015;13;3;S.N.C.F;REHABILITATION_IMMEUBLE;;Boulevard Vaugirard (1-17);;2024-10-30;2026-03-30;RESTREINTE;Réduction de voirie et suppression du couloir de bus. Circulation sur une voie pour tous les véhicules.;1;2;;"{""coordinates"": [[[2.319176513855834, 48.84165315782454], [2.319752173403109, 48.84180949672928], [2.319772793744469, 48.841788131722375], [2.319748490643204, 48.84177993700274], [2.319760975804965, 48.84175852573643], [2.3192056202719904, 48.84160498702553], [2.319176513855834, 48.84165315782454]]], ""type"": ""Polygon""}";48.84170643714342, 2.3194725247371406
CP002771;;75015;13;1;SAGP;REAMENAGEMENT_SECTEUR;;rue Auguste Dorchain et rue Joseph Liouville;Fermeture ponctuelle des deux rues pendant la phases de travaux rue de la Croix Nivert avec mise en sens unique de la rue Joseph Liouville.;2025-01-13;2025-12-31;SENS_UNIQUE;fermeture de la rue Dorchain  du 07/01 au 10/03/2025, mise en sens unique de circulation de la rue Liouville du 13/01/ au 31/10/2025? déviation mise en place depuis la rue mademoiselle.;1;2;;"{""coordinates"": [[[2.298346171742704, 48.84493106058378], [2.298371846651267, 48.844837223833856], [2.2982008360676294, 48.84484696189021], [2.2978120003892726, 48.845019228279526], [2.2976665192144314, 48.84494587011225], [2.2978085547530887, 48.84376515143133], [2.2976822598543243, 48.843777836703], [2.297576945187403, 48.84495071432874], [2.297790609981216, 48.84509697791158], [2.298346171742704, 48.84493106058378]]], ""type"": ""Polygon""}";48.84455472792496, 2.2978075906291853
CP002772;;75002;11;2;C.P.C.U;RACCORDEMENT_RESEAU;;rue de Richelieu-rue de Saint-Marc;Carrefour rue de Richelieu-rue Saint Marc.;2025-02-10;2025-04-28;RESTREINTE;Réduction de voirie avec renvoi des bus-taxis-cyclistes en circulation générale.;2;4;;"{""coordinates"": [[[2.3393732708439283, 48.87067873756187], [2.339389309371261, 48.870617736546954], [2.3393585395773338, 48.870556476284534], [2.3387648567195765, 48.87066799355238], [2.3387238302962015, 48.870693276710384], [2.3393246618063888, 48.87057978548017], [2.3393246447770406, 48.870581128102316], [2.3393732708439283, 48.87067873756187]]], ""type"": ""Polygon""}";48.87062082994452, 2.3391256144546655
CP002822;;75016;13;1;DVD SD;REAMENAGEMENT_VOIRIE;Mise en accessibilité du point d'arrêt de bus.;Rue de la Pompe;n°110;2025-07-21;2025-08-23;SENS_UNIQUE;Mises en sens unique de la rue de Pompe à partir de l'avenue George Mandel vers la rue de Longchamp.;2;2;;"{""coordinates"": [[[2.2797035041552243, 48.8658794212746], [2.2788475834367947, 48.86508210315555], [2.278839519008345, 48.86507668363494], [2.2787781733180084, 48.865097796780965], [2.279629985979199, 48.86589777522592], [2.2797035041552243, 48.8658794212746]]], ""type"": ""Polygon""}";48.865493006550935, 2.279243837327298
CP002645;;75010;11;3;SNCF;CREATION_ENTRETIEN_OUVRAGE_ART;"Création d'un passage piéton souterrain.
gare du nord-gare de l'est.";rue Lafayette et rue de l'Aqueduc;;2024-09-16;2027-02-02;RESTREINTE;"Itinéraire préconisé cyclable sur la rue de l'Aqueduc en BIDI provisoire.
Travaux impactant la circulation générale sens GDN boulevard de Stalingrad.";1;4;;"{""coordinates"": [[[2.3588276949569953, 48.879758300471934], [2.359736827877476, 48.879988726512586], [2.359744903028915, 48.87999414050632], [2.3597490073106195, 48.879991477052315], [2.3597862745284504, 48.87994065637803], [2.3588569856897044, 48.879694011228295], [2.3588276949569953, 48.879758300471934]]], ""type"": ""Polygon""}";48.87984282429404, 2.359292274047231
