id;starttime;endtime;description;type;subtype;street;polyline;direction
20240617T083355_4867_1770;2024-06-17T08:33:55+02:00;2025-12-31T18:00:00+02:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8391937649649037 2.3921823994630618 48.8393580669782423 2.3942918696975473;ONE_DIRECTION
20241003T082352_32_357;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8604448421113489 2.3423106121012647 48.8609140900497323 2.3408548304014047;ONE_DIRECTION
20250516T205803_5785_3215;2025-05-16T20:58:03+02:00;2025-07-30T18:00:00+02:00;Travaux:Maitre d'ouvrage:Mission vélo/Objet:Réaménagement de secteur/circulation restreinte;CONSTRUCTION;;Bd_des_Invalides;48.8468845712728665 2.3167094142823572 48.8482628592805739 2.3159016878051197;ONE_DIRECTION
20241003T082352_281_232;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8643927447054551 2.3300736682310164 48.8653312350356686 2.3272589906352534;ONE_DIRECTION
20250527T213126_1020_194;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Ivry;48.8206303888260251 2.3760541407969678 48.8197604285088431 2.3729146523579154;ONE_DIRECTION
20250527T213126_5187_1623;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Lafenestre;48.8231445671306474 2.3120987813253797 48.8247605062208265 2.3047525619133653;ONE_DIRECTION
20250527T213126_5202_340;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Louis_Vicat;48.8260427547334217 2.2990199920357761 48.8266427801145255 2.2962931833101288;ONE_DIRECTION
20201110T102206_1413_281;2020-11-10T10:22:06+02:00;2050-06-14T17:00:00+02:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8697469152808850 2.4025674826905021 48.8683707172224899 2.4013944321609242;ONE_DIRECTION
20201110T102206_1415_2540;2020-11-10T10:22:06+02:00;2050-06-14T17:00:00+02:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8716962519072524 2.4043252103199260 48.8697469152808850 2.4025674826905021;ONE_DIRECTION
20241003T082352_30_3686;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8596349548353999 2.3448214172967252 48.8599242487681593 2.3439087680977191;ONE_DIRECTION
20241003T082352_375_235;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8533832221277962 2.3676529252188785 48.8535182436284714 2.3665293761035024 48.8539396055919610 2.3647612444729278;ONE_DIRECTION
20240826T174434_4878_522;2024-08-26T17:44:34+02:00;2025-08-29T18:00:00+02:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Pl_Felix_Eboue;48.8396571812658564 2.3964386495761274 48.8397524244466581 2.3963122798262861 48.8399246740862552 2.3954315882157875;ONE_DIRECTION
20250527T213126_5463_649;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Reuilly;48.8321696492133341 2.4038113240571257 48.8316767793220521 2.4034056907278281;ONE_DIRECTION
20241003T082352_25_1062;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8575349514073665 2.3514130212603082 48.8580826343978813 2.3495301566806641;ONE_DIRECTION
20250526T101351_346_2963;2025-05-26T10:13:51+02:00;2025-05-28T08:00:00+02:00;Manifestation des Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Bd_Raspail;48.8517314122085153 2.3265791502690654 48.8513571036419734 2.3266917440138428;ONE_DIRECTION
20241003T082352_176_122;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8591196110789880 2.3464186665443791 48.8593667042748976 2.3456528431755985;ONE_DIRECTION
20241003T082352_233_2363;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Concorde_Est;48.8653529177397274 2.3215726526650053 48.8654782321331567 2.3218581856339147 48.8659898817757892 2.3222062930148191 48.8660113523959225 2.3227501958170338 48.8661975689311134 2.3232395171558040 48.8664313043376310 2.3234709497407819;ONE_DIRECTION
20250527T213126_5492_3576;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_A4_bretelle_2;48.8277216187745253 2.3928318558404720 48.8277902364065497 2.3922608512738321 48.8277953460592116 2.3916614220811439 48.8277483883920809 2.3912510709633521 48.8276409544451937 2.3909835286585870 48.8274476620702984 2.3906799263877678 48.8272778775425635 2.3905861373203887 48.8270923370528038 2.3906037529868214 48.8269157178539999 2.3907695615129505 48.8261980080176770 2.3912336356961714 48.8260143469784538 2.3916188646280068 48.8255497238366729 2.3923373666997700;ONE_DIRECTION
20250527T213126_5312_2756;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Gentilly;48.8164416020330378 2.3464759420050219 48.8164167554752311 2.3455409674257730 48.8166242303398761 2.3418372568929762;ONE_DIRECTION
20250527T213126_5317_1290;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Orleans;48.8195213645606572 2.3283571585704648 48.8209043492026851 2.3219324724526973;ONE_DIRECTION
20250527T213126_5358_174;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_A3;48.8665746169587081 2.4132178653782881 48.8646471959918358 2.4132519388078730 48.8634280558059686 2.4133831553742882;ONE_DIRECTION
20240617T083355_4821_3160;2024-06-17T08:33:55+02:00;2025-12-31T18:00:00+02:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Av_Daumesnil;48.8398057767013327 2.3950967602499755 48.8403271480399113 2.3927878799449553;ONE_DIRECTION
20250527T213126_1178_2333;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Brancion;48.8247605062208265 2.3047525619133653 48.8251542200576338 2.3035300973325015 48.8254424080381568 2.3023465255632063;ONE_DIRECTION
20240329T161009_1454_1069;2024-03-29T16:10:09+02:00;2050-03-29T09:00:00+02:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8646466309063783 2.4041489084446028 48.8645043011397675 2.4080744444103361 48.8644721789945180 2.4085078347665672;ONE_DIRECTION
20241003T082352_29_2505;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8593667042748976 2.3456528431755985 48.8596349548353999 2.3448214172967252;ONE_DIRECTION
20250526T101351_344_1676;2025-05-26T10:13:51+02:00;2025-05-28T08:00:00+02:00;Manifestation des Taxis;ROAD_CLOSED;ROAD_CLOSED_EVENT;Bd_Raspail;48.8545064179381825 2.3257752072489732 48.8534203393447157 2.3260819873249576;ONE_DIRECTION
20250527T213126_982_38;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bercy_bretelle_16;48.8293578588580672 2.3902963954130896 48.8290631997672051 2.3905013526830570 48.8288312707741099 2.3906214722541841 48.8285948494205115 2.3906613010649500 48.8280961194450001 2.3904632254139604 48.8276753015874476 2.3903445694744527;ONE_DIRECTION
20250527T213126_5931_1841;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_A6B_bretelle_1;48.8162807481049228 2.3635469345598157 48.8162358169714850 2.3625799118300677 48.8163684938960429 2.3606848160238791 48.8165743020190135 2.3579795384894444 48.8164930794330587 2.3572564938439675 48.8162419271674750 2.3566528875096595 48.8160116696858211 2.3563960197315916 48.8155775263725644 2.3561868580948886;ONE_DIRECTION
20241003T082352_4189_1478;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8631970496358079 2.3337122499579190 48.8637319223259254 2.3320446920555993;ONE_DIRECTION
20250405T200342_29_2505;2025-04-05T20:03:42+02:00;2025-06-30T17:00:00+02:00;Travaux Redveco France services Circulation restreinte.;CONSTRUCTION;;Rivoli;48.8593667042748976 2.3456528431755985 48.8596349548353999 2.3448214172967252;ONE_DIRECTION
20250405T200722_1323_3670;2025-04-05T20:07:22+02:00;2025-06-12T17:00:00+02:00;Travaux RTE entretien du réseau;CONSTRUCTION;;Av_Parmentier;48.8699956237413815 2.3711086640226249 48.8712815872865889 2.3701525610495180;ONE_DIRECTION
20241003T082352_280_2134;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8653312350356686 2.3272589906352534 48.8660550420156312 2.3250170913911492;ONE_DIRECTION
20210915T124732_1899_655;2021-09-15T12:47:32+02:00;2030-09-15T17:00:00+02:00;interdit au véhicules,sauf (le bus,taxi,vélo) date de fin indefini;ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_St_Ouen;48.8940431642816122 2.3277028547496852 48.8930204235421755 2.3273499661421608;ONE_DIRECTION
20240826T174434_5713_2556;2024-08-26T17:44:34+02:00;2025-08-29T18:00:00+02:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Av_Daumesnil;48.8392666208446116 2.3961171190403960 48.8390508980545519 2.3968029906156159 48.8383989829818361 2.3985490200456163;ONE_DIRECTION
20241003T082352_31_2520;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8600921719548964 2.3433932841591374 48.8604448421113489 2.3423106121012647;ONE_DIRECTION
20250527T213126_769_954;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_Orleans;48.8206007565684175 2.3241459705174097 48.8209043492026851 2.3219324724526973;ONE_DIRECTION
20250527T213126_5341_3226;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Langle_Cary;48.8278445318062282 2.3937387491166744 48.8277216187745253 2.3928318558404720;ONE_DIRECTION
