Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
ABLON;87545269;SAM;2017-04-22;2017;C;C;Avant 6h;26
ABLON;87545269;DIM;2017-04-23;2017;C;C;Avant 6h;2
ABLON;87545269;JOB;2017-04-25;2017;C;C;Avant 6h;73
ABLON;87545269;JOB;2017-04-25;2017;C;C;De 6h à 10h;1288
ACHERES-GRAND-CORMIER;87386052;SAM;2022-11-19;2022;A;A;De 10h à 16h;79
ACHERES-GRAND-CORMIER;87386052;SAM;2022-11-19;2022;A;A;De 16h à 20h;50
ACHERES-GRAND-CORMIER;87386052;SAM;2022-11-19;2022;A;A;De 6h à 10h;25
ACHERES-GRAND-CORMIER;87386052;DIM;2022-11-20;2022;A;A;De 10h à 16h;63
ACHERES-VILLE;87381657;SAM;2022-11-19;2022;A;A;Après 20h;255
ACHERES-VILLE;87381657;DIM;2022-11-20;2022;A;A;Après 20h;241
ACHERES-VILLE;87381657;JOB;2022-11-22;2022;A;A;De 16h à 20h;397
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;SAM;2019-03-23;2019;B;B;De 10h à 16h;2476
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;SAM;2019-03-23;2019;B;B;De 16h à 20h;1072
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;DIM;2019-03-17;2019;B;B;De 6h à 10h;828
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;DIM;2019-03-24;2019;B;B;De 16h à 20h;392
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;JOB;2023-05-10;2023;B;B;De 10h à 16h;4632
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3);87271460;JOB;2023-10-10;2023;B;B;De 10h à 16h;388
AEROPORT-CHARLES-DE-GAULLE-2-(TERMINAL-2);87001479;SAM;2019-03-16;2019;B;B;Avant 6h;112
AEROPORT-CHARLES-DE-GAULLE-2-(TERMINAL-2);87001479;SAM;2019-03-16;2019;B;B;De 10h à 16h;2538
AEROPORT-CHARLES-DE-GAULLE-2-(TERMINAL-2);87001479;DIM;2019-03-17;2019;B;B;Avant 6h;91
AEROPORT-CHARLES-DE-GAULLE-2-(TERMINAL-2);87001479;JOB;2023-05-10;2023;B;B;Après 20h;2600
ALLEE-DE-LA-TOUR-RENDEZ-VOUS;87113878;SAM;2021-11-09;2021;T4;T4;Après 20h;47
ALLEE-DE-LA-TOUR-RENDEZ-VOUS;87113878;SAM;2021-11-09;2021;T4;T4;Avant 6h;3
ALLEE-DE-LA-TOUR-RENDEZ-VOUS;87113878;JOB;2021-09-21;2021;T4;T4;De 6h à 10h;353
ALLEE-ROYALE;87710913;SAM;2023-10-14;2023;T13;T13;Après 20h;5
ALLEE-ROYALE;87710913;SAM;2023-10-14;2023;T13;T13;De 6h à 10h;2
ALLEE-ROYALE;87710913;DIM;2023-10-15;2023;T13;T13;De 10h à 16h;14
ALLEE-ROYALE;87710913;JOB;2023-10-19;2023;T13;T13;Après 20h;6
ALLEE-ROYALE;87710913;JOB;2023-10-19;2023;T13;T13;De 10h à 16h;21
ALLEE-ROYALE;87710913;JOB;2023-10-19;2023;T13;T13;De 6h à 10h;17
ANDRESY;87381491;SAM;2023-11-18;2023;J;J6;Après 20h;23
ANDRESY;87381491;DIM;2023-11-19;2023;J;J6;Après 20h;15
ANDRESY;87381491;DIM;2023-11-19;2023;J;J6;De 16h à 20h;101
ANDRESY;87381491;JOB;2023-11-14;2023;J;J6;De 10h à 16h;217
ARBORETUM;87704320;JOB;2021-09-21;2021;T4;T4;Après 20h;46
ARBORETUM;87704320;JOB;2021-09-21;2021;T4;T4;Avant 6h;5
ARGENTEUIL;87381848;SAM;2023-11-18;2023;J;J4;Après 20h;631
ARGENTEUIL;87381848;SAM;2023-11-18;2023;J;J6;De 6h à 10h;2203
ARGENTEUIL;87381848;DIM;2023-11-19;2023;J;J4;Avant 6h;139
ARGENTEUIL;87381848;DIM;2023-11-19;2023;J;J4;De 10h à 16h;1825
ARGENTEUIL;87381848;DIM;2023-11-19;2023;J;J6;De 16h à 20h;2137
ARGENTEUIL;87381848;JOB;2023-11-14;2023;J;J6;Avant 6h;322
ARPAJON;87545467;DIM;2017-04-23;2017;C;C;Avant 6h;28
ARPAJON;87545467;JOB;2017-04-25;2017;C;C;De 6h à 10h;1427
ASNIERES-SUR-SEINE;87381137;SAM;2023-11-18;2023;J;J4;Avant 6h;25
ASNIERES-SUR-SEINE;87381137;SAM;2023-11-18;2023;J;J4;De 10h à 16h;2048
ASNIERES-SUR-SEINE;87381137;SAM;2023-11-18;2023;L;L2;De 6h à 10h;774
ASNIERES-SUR-SEINE;87381137;SAM;2023-11-18;2023;L;L3;De 16h à 20h;1848
ASNIERES-SUR-SEINE;87381137;DIM;2023-11-19;2023;J;J4;De 16h à 20h;916
ASNIERES-SUR-SEINE;87381137;DIM;2023-11-19;2023;L;L2;Avant 6h;13
ASNIERES-SUR-SEINE;87381137;DIM;2023-11-19;2023;L;L2;De 16h à 20h;881
ASNIERES-SUR-SEINE;87381137;DIM;2023-11-19;2023;L;L3;De 6h à 10h;429
ASNIERES-SUR-SEINE;87381137;JOB;2023-11-14;2023;L;L2;Avant 6h;40
ATHIS-MONS;87545251;JOB;2017-04-25;2017;C;C;Avant 6h;95
ATHIS-MONS;87545251;JOB;2017-04-25;2017;C;C;De 6h à 10h;1425
AUBERGENVILLE-ELISABETHVILLE;87386730;SAM;2021-04-12;2021;J;J5;Après 20h;40
AUBERGENVILLE-ELISABETHVILLE;87386730;SAM;2021-04-12;2021;J;J5;De 10h à 16h;387
AUBERGENVILLE-ELISABETHVILLE;87386730;DIM;2021-05-12;2021;J;J5;Après 20h;34
AUBERGENVILLE-ELISABETHVILLE;87386730;DIM;2021-05-12;2021;J;J5;Avant 6h;19
AUBERGENVILLE-ELISABETHVILLE;87386730;DIM;2021-05-12;2021;J;J5;De 16h à 20h;129
AUBERGENVILLE-ELISABETHVILLE;87386730;JOB;2021-07-12;2021;J;J5;Avant 6h;90
AUBERGENVILLE-ELISABETHVILLE;87386730;JOB;2021-07-12;2021;J;J5;De 16h à 20h;564
AULNAY-SOUS-BOIS;87271411;SAM;2019-03-16;2019;B;B;De 10h à 16h;7910
AULNAY-SOUS-BOIS;87271411;SAM;2019-03-16;2019;B;B;De 6h à 10h;4384
AULNAY-SOUS-BOIS;87271411;SAM;2021-11-09;2021;T4;T4;De 16h à 20h;1613
AULNAY-SOUS-BOIS;87271411;SAM;2021-09-18;2021;T4;T4;De 6h à 10h;644
AULNAY-SOUS-BOIS;87271411;DIM;2019-03-17;2019;B;B;Avant 6h;149
AULNAY-SOUS-BOIS;87271411;DIM;2019-03-24;2019;B;B;Après 20h;1606
AULNAY-SOUS-BOIS;87271411;DIM;2019-03-24;2019;B;B;De 16h à 20h;441
AULNAY-SOUS-BOIS;87271411;DIM;2023-11-19;2023;K;K;De 16h à 20h;83
AULNAY-SOUS-BOIS;87271411;JOB;2023-05-10;2023;B;B;De 10h à 16h;5687
AULNAY-SOUS-BOIS;87271411;JOB;2023-05-10;2023;B;B;De 16h à 20h;4764
AULNAY-SOUS-BOIS;87271411;JOB;2023-05-10;2023;B;B;De 6h à 10h;9660
AULNAY-SOUS-BOIS;87271411;JOB;2023-10-10;2023;B;B;Avant 6h;208
AULNAY-SOUS-BOIS;87271411;JOB;2023-11-14;2023;K;K;De 10h à 16h;142
AULNAY-SOUS-BOIS;87271411;JOB;2023-11-14;2023;K;K;De 16h à 20h;489
AUVERS-SUR-OISE;87276543;DIM;2023-11-19;2023;H;H;De 16h à 20h;66
AUVERS-SUR-OISE;87276543;DIM;2023-11-19;2023;H;H;De 6h à 10h;15
